JA Morkel (SA),2005-2015,50,46,107.5,2,864,26,3-Dec,33.23,8.01,24.8,0,0,T20,Bowling
NLTC Perera (SL),2010-2015,40,30,79.4,0,661,26,Feb-19,25.42,8.29,18.3,0,0,T20,Bowling
R Rampaul (WI),2007-2014,22,22,78.5,1,685,26,Mar-16,26.34,8.68,18.1,0,0,T20,Bowling
PM Seelaar (Neth),2008-2015,32,29,83,2,539,26,Apr-19,20.73,6.49,19.1,1,0,T20,Bowling
MA Starc (Aus),2012-2015,20,20,75.3,1,508,26,3-Nov,19.53,6.72,17.4,0,0,T20,Bowling
P Utseya (Zim),2006-2015,35,35,124.5,2,858,26,Mar-25,33,6.87,28.8,0,0,T20,Bowling
SE Bond (NZ),2005-2010,20,20,77.3,2,543,25,Mar-18,21.72,7,18.6,0,0,T20,Bowling
TT Bresnan (Eng),2006-2014,34,34,110.3,1,887,24,3-Oct,36.95,8.02,27.6,0,0,T20,Bowling
Harbhajan Singh (India),2006-2015,27,26,98,4,622,24,4-Dec,25.91,6.34,24.5,1,0,T20,Bowling
MJ McClenaghan (NZ),2012-2015,20,20,72.2,2,571,24,Feb-24,23.79,7.89,18,0,0,T20,Bowling
RJ Peterson (SA),2006-2014,21,19,59.5,1,451,24,Mar-28,18.79,7.53,14.9,0,0,T20,Bowling
Shapoor Zadran (Afg),2010-2015,23,23,71,3,472,24,2-Sep,19.66,6.64,17.7,0,0,T20,Bowling
IG Butler (NZ),2009-2013,19,18,59.4,1,481,23,Mar-19,20.91,8.06,15.5,0,0,T20,Bowling
Mohammad Amir (Pak),2009-2010,18,18,65,3,457,23,Mar-23,19.86,7.03,16.9,0,0,T20,Bowling
RJ Sidebottom (Eng),2007-2010,18,18,61.1,0,437,23,Mar-16,19,7.14,15.9,0,0,T20,Bowling
JE Taylor (WI),2006-2010,17,17,60,2,473,23,3-Jun,20.56,7.88,15.6,0,0,T20,Bowling
RE van der Merwe (Neth/SA),2009-2015,18,18,64,0,435,23,2-Oct,18.91,6.79,16.6,0,0,T20,Bowling
Yuvraj Singh (India),2007-2014,40,22,53.4,0,386,23,Mar-17,16.78,7.19,14,0,0,T20,Bowling
SO Ngoche (Kenya),2010-2013,19,19,59.3,0,416,22,Apr-14,18.9,6.99,16.2,2,0,T20,Bowling
Samiullah Shenwari (Afg),2010-2015,31,26,73.4,0,456,22,May-13,20.72,6.19,20,1,1,T20,Bowling
AC Botha (Ire),2008-2010,14,10,34,0,184,21,Mar-14,8.76,5.41,9.7,0,0,T20,Bowling
PJ Cummins (Aus),2011-2015,15,15,59,3,395,21,Mar-15,18.8,6.69,16.8,0,0,T20,Bowling
Shoaib Malik (Pak),2006-2015,65,29,63.2,0,422,21,2-Jul,20.09,6.66,18,0,0,T20,Bowling
Abdul Razzaq (Pak),2006-2013,32,22,56.3,2,395,20,Mar-13,19.75,6.99,16.9,0,0,T20,Bowling
Dawlat Zadran (Afg),2012-2015,17,17,61.5,1,459,20,Mar-17,22.95,7.42,18.5,0,0,T20,Bowling
JEC Franklin (NZ),2006-2013,38,26,54.3,0,417,20,Apr-15,20.85,7.65,16.3,1,0,T20,Bowling
D Wiese (SA),2013-2015,12,12,39.2,0,267,20,May-23,13.35,6.78,11.8,0,1,T20,Bowling
NW Bracken (Aus),2006-2009,19,19,62.5,2,438,19,3-Nov,23.05,6.97,19.8,0,0,T20,Bowling
DJ Hussey (Aus),2008-2012,39,25,60.1,1,392,19,Mar-25,20.63,6.51,19,0,0,T20,Bowling
ST Jayasuriya (SL),2006-2011,31,24,61.5,0,456,19,Mar-21,24,7.37,19.5,0,0,T20,Bowling
JDP Oram (NZ),2005-2012,36,32,91,0,793,19,Mar-33,41.73,8.71,28.7,0,0,T20,Bowling
KA Pollard (WI),2008-2015,43,30,65,0,533,19,Mar-30,28.05,8.2,20.5,0,0,T20,Bowling
MN Samuels (WI),2007-2015,38,26,72.2,0,561,19,Mar-23,29.52,7.75,22.8,0,0,T20,Bowling
Shoaib Akhtar (Pak),2006-2010,15,15,53,3,432,19,Mar-38,22.73,8.15,16.7,0,0,T20,Bowling
T van der Gugten (Neth),2012-2015,19,19,60.5,0,408,19,Mar-18,21.47,6.7,19.2,0,0,T20,Bowling
JM Anderson (Eng),2007-2009,19,19,70.2,1,552,18,Mar-23,30.66,7.84,23.4,0,0,T20,Bowling
CRD Fernando (SL),2006-2011,17,17,61,3,457,18,Mar-19,25.38,7.49,20.3,0,0,T20,Bowling
WB Rankin (Eng/Ire),2009-2013,17,16,63,1,388,18,Mar-20,21.55,6.15,21,0,0,T20,Bowling
