Salman Butt (Pak),2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10,T20,Batting
BRM Taylor (Zim),2006-2014,26,26,5,594,75*,28.28,480,123.75,0,5,4,52,17,T20,Batting
E Chigumbura (Zim),2006-2015,33,32,5,590,54,21.85,383,154.04,0,2,2,48,32,T20,Batting
KJ Coetzer (Scot),2008-2015,28,26,1,587,62,23.48,535,109.71,0,1,0,59,17,T20,Batting
MR Swart (Neth),2012-2015,24,23,2,586,89,27.9,509,115.12,0,4,1,50,14,T20,Batting
KS Williamson (NZ),2011-2015,25,23,3,584,57,29.2,456,128.07,0,2,1,73,7,T20,Batting
PD Collingwood (Eng),2005-2011,35,33,2,583,79,18.8,459,127.01,0,3,3,37,24,T20,Batting
DR Smith (WI),2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31,T20,Batting
SB Styris (NZ),2005-2010,31,29,2,578,66,21.4,483,119.66,0,1,0,40,25,T20,Batting
JA Morkel (SA),2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39,T20,Batting
Mushfiqur Rahim (Ban),2006-2015,41,35,6,558,50,19.24,479,116.49,0,1,1,44,17,T20,Batting
GC Wilson (Ire),2008-2015,38,32,4,557,41*,19.89,614,90.71,0,0,3,49,5,T20,Batting
MJ Lumb (Eng),2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21,T20,Batting
SJ Myburgh (Neth),2012-2015,22,22,2,545,71*,27.25,442,123.3,0,5,4,56,21,T20,Batting
MDKJ Perera (SL),2013-2015,20,20,0,544,84,27.2,407,133.66,0,5,0,52,22,T20,Batting
PW Borren (Neth),2008-2015,35,31,5,527,57,20.26,435,121.14,0,1,1,48,17,T20,Batting
JC Buttler (Eng),2011-2015,38,32,7,527,67,21.08,395,133.41,0,2,2,42,20,T20,Batting
C Kieswetter (Eng),2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23,T20,Batting
W Barresi (Neth),2012-2015,27,27,4,518,75*,22.52,418,123.92,0,3,3,46,16,T20,Batting
Q de Kock (SA),2012-2015,22,22,4,513,48*,28.5,422,121.56,0,0,2,57,15,T20,Batting
DJG Sammy (WI),2007-2015,58,45,15,511,42*,17.03,334,152.99,0,0,2,41,27,T20,Batting
KJ O'Brien (Ire),2008-2015,45,39,8,508,42*,16.38,419,121.24,0,0,6,38,21,T20,Batting
CO Obuya (Kenya),2007-2013,26,24,6,507,75*,28.16,463,109.5,0,3,3,37,10,T20,Batting
Imran Nazir (Pak),2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22,T20,Batting
CJ Chibhabha (Zim),2006-2015,23,22,0,490,67,22.27,447,109.61,0,4,1,56,11,T20,Batting
MJ Clarke (Aus),2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10,T20,Batting
JDP Oram (NZ),2005-2012,36,30,7,474,66*,20.6,339,139.82,0,2,3,38,22,T20,Batting
GJ Bailey (Aus),2012-2014,28,25,7,470,63,26.11,334,140.71,0,2,1,37,20,T20,Batting
RD Berrington (Scot),2008-2015,29,24,3,469,100,22.33,394,119.03,1,0,5,53,9,T20,Batting
NLTC Perera (SL),2010-2015,40,33,17,469,49,29.31,306,153.26,0,0,3,36,23,T20,Batting
JEC Franklin (NZ),2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23,T20,Batting
JD Ryder (NZ),2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18,T20,Batting
Samiullah Shenwari (Afg),2010-2015,31,29,7,455,61,20.68,392,116.07,0,1,0,30,15,T20,Batting
Nawroz Mangal (Afg),2010-2015,30,30,3,454,65*,16.81,415,109.39,0,2,4,35,18,T20,Batting
Mohammad Ashraful (Ban),2007-2013,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11,T20,Batting
Younis Khan (Pak),2006-2010,25,23,3,442,51,22.1,364,121.42,0,2,2,31,12,T20,Batting
J Charles (WI),2011-2014,21,20,0,429,84,21.45,378,113.49,0,2,2,59,9,T20,Batting
EC Joyce (Eng/Ire),2006-2014,18,15,3,405,78*,33.75,431,93.96,0,1,0,30,5,T20,Batting
BJ Haddin (Aus),2006-2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13,T20,Batting
RT Ponting (Aus),2005-2009,17,16,2,401,98*,28.64,302,132.78,0,2,2,41,11,T20,Batting
HH Gibbs (SA),2005-2010,23,23,1,400,90*,18.18,318,125.78,0,3,4,45,12,T20,Batting
V Sehwag (India),2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16,T20,Batting
Abdul Razzaq (Pak),2006-2013,32,29,10,393,46*,20.68,337,116.61,0,0,2,21,21,T20,Batting
TLW Cooper (Neth),2012-2014,15,15,3,389,72*,32.41,286,136.01,0,2,1,36,16,T20,Batting
GJ Maxwell (Aus),2012-2015,25,21,2,387,74,20.36,242,159.91,0,1,1,35,23,T20,Batting
Mohammad Nabi (Afg),2010-2015,31,28,3,385,46,15.4,301,127.9,0,0,3,27,18,T20,Batting
Mahmudullah (Ban),2007-2015,35,30,4,381,64*,14.65,371,102.69,0,1,2,24,15,T20,Batting
CK Kapugedera (SL),2006-2015,23,20,5,374,48*,24.93,297,125.92,0,0,0,28,18,T20,Batting
NJ O'Brien (Ire),2008-2015,23,22,1,374,50,17.8,385,97.14,0,1,0,35,6,T20,Batting
Nasir Jamshed (Pak),2012-2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12,T20,Batting
D Ramdin (WI),2006-2015,51,33,10,351,55*,15.26,290,121.03,0,1,2,37,6,T20,Batting
Nasir Hossain (Ban),2011-2015,27,21,4,348,50*,20.47,302,115.23,0,2,2,29,6,T20,Batting
ADS Fletcher (WI),2008-2015,22,22,2,347,62,17.35,337,102.96,0,3,5,22,14,T20,Batting
OA Shah (Eng),2007-2009,17,15,1,347,55*,24.78,284,122.18,0,1,0,26,13,T20,Batting
RR Patel (Kenya),2008-2013,22,19,2,345,52,20.29,298,115.77,0,1,1,16,20,T20,Batting
SO Tikolo (Kenya),2007-2013,15,15,3,345,56*,28.75,281,122.77,0,2,3,46,6,T20,Batting
S Chanderpaul (WI),2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5,T20,Batting
Asghar Stanikzai (Afg),2010-2015,19,17,1,341,49,21.31,377,90.45,0,0,1,19,15,T20,Batting
A Symonds (Aus),2005-2009,14,11,4,337,85*,48.14,199,169.34,0,2,2,33,10,T20,Batting
CS MacLeod (Scot),2009-2015,19,18,2,333,57,20.81,318,104.71,0,3,3,27,8,T20,Batting
RJ Nicol (NZ),2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11,T20,Batting
AA Obanda (Kenya),2007-2013,24,22,2,325,79,16.25,299,108.69,0,1,3,43,6,T20,Batting
LE Bosman (SA),2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20,T20,Batting
BN Cooper (Neth),2013-2015,19,18,5,313,66,24.07,266,117.66,0,2,2,24,12,T20,Batting
ML Hayden (Aus),2005-2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13,T20,Batting
L Ronchi (Aus/NZ),2008-2015,19,16,4,308,51*,25.66,213,144.6,0,1,1,27,12,T20,Batting
Anamul Haque (Ban),2012-2014,11,11,2,307,58,34.11,248,123.79,0,1,1,35,12,T20,Batting
NL McCullum (NZ),2007-2015,61,39,14,299,36*,11.96,296,101.01,0,0,3,19,8,T20,Batting
RR Sarwan (WI),2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6,T20,Batting
SC Williams (Zim),2006-2015,14,14,2,297,58*,24.75,247,120.24,0,1,1,26,5,T20,Batting
Karim Sadiq (Afg),2010-2014,23,23,0,295,42,12.82,288,102.43,0,0,2,36,5,T20,Batting
V Sibanda (Zim),2007-2015,18,18,1,292,49,17.17,307,95.11,0,0,3,29,5,T20,Batting
AN Kervezee (Neth),2009-2012,10,10,1,289,58*,32.11,262,110.3,0,2,0,19,6,T20,Batting
PL Mommsen (Scot),2012-2015,17,13,5,287,68*,35.87,215,133.48,0,1,1,23,9,T20,Batting
A Bagai (Can),2008-2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0,T20,Batting
Mashrafe Mortaza (Ban),2006-2015,31,23,7,284,36,17.75,203,139.9,0,0,1,20,17,T20,Batting
HDRL Thirimanne (SL),2012-2014,22,16,2,277,44,19.78,241,114.93,0,0,0,25,5,T20,Batting
MW Machan (Scot),2013-2013,6,6,2,276,67*,69,210,131.42,0,3,0,29,4,T20,Batting
RR Rossouw (SA),2014-2015,10,10,3,274,78,39.14,182,150.54,0,2,1,26,11,T20,Batting
LD Chandimal (SL),2010-2014,27,21,0,273,56,13,289,94.46,0,1,0,23,4,T20,Batting
AM Rahane (India),2011-2015,13,13,0,273,61,21,235,116.17,0,1,1,24,6,T20,Batting
AC Gilchrist (Aus),2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13,T20,Batting
Noor Ali Zadran (Afg),2010-2013,10,10,1,269,50,29.88,282,95.39,0,2,1,21,2,T20,Batting
MV Boucher (SA),2005-2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2,T20,Batting
T Taibu (Zim),2007-2012,17,15,6,259,45*,28.77,257,100.77,0,0,2,19,2,T20,Batting
SPD Smith (Aus),2010-2015,22,17,4,258,90,19.84,211,122.27,0,1,1,19,7,T20,Batting
JE Root (Eng),2012-2015,10,8,2,251,90*,41.83,191,131.41,0,2,0,30,3,T20,Batting
DT Johnston (Ire),2008-2013,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11,T20,Batting
RV Uthappa (India),2007-2015,13,12,2,249,50,24.9,211,118,0,1,1,26,6,T20,Batting
J Mubarak (SL),2007-2009,16,15,4,238,46*,21.63,188,126.59,0,0,2,21,8,T20,Batting
