180,Maldives,"393,253"
181,Belize,"347,369"
182,Iceland,"331,918"
183,"Bahamas, The","324,597"
184,Barbados,"290,604"
185,French Polynesia,"282,703"
186,Vanuatu,"272,264"
187,New Caledonia,"271,615"
188,Samoa,"197,773"
189,Sao Tome and Principe,"194,006"
190,Saint Lucia,"163,922"
191,Guam,"161,785"
192,Curacao,"146,836"
193,Aruba,"112,162"
194,Grenada,"110,694"
195,Tonga,"106,501"
196,Kiribati,"105,711"
197,"Micronesia, Federated States of","105,216"
198,Virgin Islands,"103,574"
199,Saint Vincent and the Grenadines,"102,627"
200,Jersey,"97,294"
201,Antigua and Barbuda,"92,436"
202,Seychelles,"92,430"
203,Isle of Man,"87,545"
204,Andorra,"85,580"
205,Dominica,"73,607"
206,Marshall Islands,"72,191"
207,Bermuda,"70,196"
208,Guernsey,"66,080"
209,Greenland,"57,733"
210,Cayman Islands,"56,092"
211,American Samoa,"54,343"
212,Northern Mariana Islands,"52,344"
213,Saint Kitts and Nevis,"51,936"
214,Turks and Caicos Islands,"50,280"
215,Faroe Islands,"50,196"
216,Sint Maarten,"39,689"
217,Liechtenstein,"37,624"
218,British Virgin Islands,"33,454"
219,San Marino,"33,020"
220,Saint Martin,"31,754"
221,Monaco,"30,535"
222,Gibraltar,"29,258"
223,Palau,"21,265"
224,Anguilla,"16,418"
225,Wallis and Futuna,"15,613"
226,Tuvalu,"10,869"
227,Cook Islands,"9,838"
228,Nauru,"9,540"
229,"Saint Helena, Ascension, and Tristan da Cunha","7,795"
230,Saint Barthelemy,"7,237"
231,Saint Pierre and Miquelon,"5,657"
232,Montserrat,"5,241"
233,Falkland Islands (Islas Malvinas),"3,361"
234,Norfolk Island,"2,210"
235,Svalbard,"1,872"
236,Christmas Island,"1,530"
237,Tokelau,"1,337"
238,Niue,"1,190"
239,Holy See (Vatican City),842
240,Cocos (Keeling) Islands,596
241,Pitcairn Islands,48
