JN Rhodes (SA),1992-2003,245,220,51,5935,121,35.11,7336,80.9,2,33,12,ODI,Batting
BB McCullum (NZ),2002-2015,254,223,28,5909,166,30.3,6218,95.03,5,31,19,ODI,Batting
Rameez Raja (Pak),1985-1997,198,197,15,5841,119*,32.09,9226,63.31,9,31,15,ODI,Batting
RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8,ODI,Batting
CL Hooper (WI),1987-2003,227,206,43,5761,113*,35.34,7517,76.63,7,29,7,ODI,Batting
SR Watson (Aus),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,ODI,Batting
LRPL Taylor (NZ),2006-2015,166,153,25,5621,131*,43.91,6818,82.44,15,31,7,ODI,Batting
WJ Cronje (SA),1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8,ODI,Batting
SK Raina (India),2005-2015,221,190,35,5503,116*,35.5,5873,93.69,5,35,14,ODI,Batting
MEK Hussey (Aus),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,ODI,Batting
IR Bell (Eng),2004-2015,161,157,14,5416,141,37.87,7019,77.16,4,35,6,ODI,Batting
WU Tharanga (Asia/SL),2005-2015,180,172,9,5407,174*,33.17,7342,73.64,13,28,14,ODI,Batting
A Jadeja (India),1992-2000,196,179,36,5359,119,37.47,7677,69.8,6,30,10,ODI,Batting
DR Martyn (Aus),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,ODI,Batting
BRM Taylor (Zim),2004-2015,167,166,15,5258,145*,34.82,7060,74.47,8,32,13,ODI,Batting
G Gambhir (India),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,ODI,Batting
ADR Campbell (Zim),1992-2003,188,184,14,5185,131*,30.5,7834,66.18,7,30,11,ODI,Batting
RS Mahanama (SL),1986-1999,213,198,23,5162,119*,29.49,8521,60.57,4,35,15,ODI,Batting
CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,ODI,Batting
Misbah-ul-Haq (Pak),2002-2015,162,149,31,5122,96*,43.4,6945,73.75,0,42,6,ODI,Batting
PD Collingwood (Eng),2001-2011,197,181,37,5092,120*,35.36,6614,76.98,5,26,7,ODI,Batting
A Symonds (Aus),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,ODI,Batting
Abdul Razzaq (Asia/Pak),1996-2011,265,228,57,5080,112,29.7,6252,81.25,3,23,14,ODI,Batting
Mohammad Hafeez (Pak),2003-2015,169,169,9,5054,140*,31.58,6782,74.52,10,27,15,ODI,Batting
CL Cairns (ICC/NZ),1991-2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9,ODI,Batting
Aamer Sohail (Pak),1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10,ODI,Batting
CD McMillan (NZ),1997-2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9,ODI,Batting
MD Crowe (NZ),1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3,ODI,Batting
MV Boucher (Afr/SA),1998-2011,295,221,57,4686,147*,28.57,5528,84.76,1,26,16,ODI,Batting
AJ Stewart (Eng),1989-2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13,ODI,Batting
MN Samuels (WI),2000-2015,174,164,25,4631,133*,33.31,6220,74.45,8,25,9,ODI,Batting
Tamim Iqbal (Ban),2007-2015,150,149,3,4581,154,31.37,5838,78.46,6,31,15,ODI,Batting
EJG Morgan (Eng/Ire),2006-2015,151,142,22,4538,124*,37.81,5178,87.64,8,28,12,ODI,Batting
RG Sharma (India),2007-2015,141,135,22,4530,264,40.08,5446,83.18,8,27,10,ODI,Batting
SB Styris (NZ),1999-2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9,ODI,Batting
KP Pietersen (Eng/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7,ODI,Batting
NS Sidhu (India),1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,ODI,Batting
H Masakadza (Zim),2001-2015,161,160,4,4383,178*,28.09,5953,73.62,3,29,15,ODI,Batting
Shakib Al Hasan (Ban),2006-2015,156,148,24,4382,134*,35.33,5455,80.32,6,30,8,ODI,Batting
CZ Harris (NZ),1990-2004,250,213,62,4379,130,29,6583,66.51,1,16,12,ODI,Batting
GR Marsh (Aus),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,ODI,Batting
ME Trescothick (Eng),2000-2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13,ODI,Batting
GA Gooch (Eng),1976-1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4,ODI,Batting
MJ Guptill (NZ),2009-2015,119,116,13,4240,237*,41.16,5110,82.97,9,25,9,ODI,Batting
AJ Strauss (Eng),2003-2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9,ODI,Batting
K Srikkanth (India),1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11,ODI,Batting
AJ Lamb (Eng),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8,ODI,Batting
RP Arnold (SL),1997-2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7,ODI,Batting
JP Duminy (SA),2004-2015,146,132,31,3937,150*,38.98,4699,83.78,4,21,7,ODI,Batting
AD Mathews (SL),2008-2015,161,135,37,3915,139*,39.94,4590,85.29,1,27,11,ODI,Batting
E Chigumbura (Afr/Zim),2004-2015,188,174,23,3910,117,25.89,4739,82.5,2,19,14,ODI,Batting
AP Gurusinha (SL),1985-1996,147,143,5,3902,117*,28.27,6409,60.88,2,22,12,ODI,Batting
JG Wright (NZ),1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9,ODI,Batting
DJ Cullinan (SA),1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10,ODI,Batting
GA Hick (Eng),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10,ODI,Batting
HP Tillakaratne (SL),1986-2003,200,168,40,3789,104,29.6,6588,57.51,2,13,10,ODI,Batting
N Kapil Dev (India),1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13,ODI,Batting
Mushfiqur Rahim (Ban),2006-2015,155,142,21,3764,117,31.1,5012,75.09,3,22,9,ODI,Batting
Wasim Akram (Pak),1984-2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28,ODI,Batting
RS Kaluwitharana (SL),1990-2004,189,181,14,3711,102*,22.22,4776,77.7,2,23,24,ODI,Batting
Imran Khan (Pak),1974-1992,175,151,40,3709,102*,33.41,5105,72.65,1,19,6,ODI,Batting
PV Simmons (WI),1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14,ODI,Batting
NV Knight (Eng),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6,ODI,Batting
L Klusener (SA),1996-2004,171,137,50,3576,103*,41.1,3977,89.91,2,19,13,ODI,Batting
SM Pollock (Afr/ICC/SA),1996-2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20,ODI,Batting
MA Taylor (Aus),1989-1997,113,110,1,3514,105,32.23,5909,59.46,1,28,4,ODI,Batting
DB Vengsarkar (India),1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,ODI,Batting
Mohammad Ashraful (Asia/Ban),2001-2013,177,169,13,3468,109,22.23,4947,70.1,3,20,14,ODI,Batting
SO Tikolo (Afr/Kenya),1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13,ODI,Batting
HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4,ODI,Batting
A Flintoff (Eng/ICC),1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9,ODI,Batting
T Taibu (Afr/Zim),2001-2012,150,137,21,3393,107*,29.25,5020,67.58,2,22,16,ODI,Batting
KC Wessels (Aus/SA),1983-1994,109,105,7,3367,107,34.35,6088,55.3,1,26,0,ODI,Batting
KS Williamson (NZ),2010-2015,85,79,9,3362,145*,48.02,3993,84.19,7,21,4,ODI,Batting
AC Parore (NZ),1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19,ODI,Batting
Moin Khan (Pak),1990-2004,219,183,41,3266,72*,23,4017,81.3,0,12,17,ODI,Batting
AN Cook (Eng),2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7,ODI,Batting
DI Gower (Eng),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6,ODI,Batting
Kamran Akmal (Pak),2002-2013,154,135,14,3168,124,26.18,3779,83.83,5,10,9,ODI,Batting
KR Rutherford (NZ),1985-1995,121,115,9,3143,108,29.65,4888,64.3,2,18,6,ODI,Batting
BJ Haddin (Aus),2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2,ODI,Batting
RJ Shastri (India),1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,ODI,Batting
SM Gavaskar (India),1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,ODI,Batting
DS Lehmann (Aus),1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,ODI,Batting
DJ Bravo (WI),2004-2014,164,141,24,2968,112*,25.36,3606,82.3,2,10,11,ODI,Batting
HH Streak (Afr/Zim),1993-2005,189,159,55,2943,79*,28.29,4008,73.42,0,13,6,ODI,Batting
Umar Akmal (Pak),2009-2015,111,100,16,2913,102*,34.67,3383,86.1,2,20,8,ODI,Batting
V Sibanda (Afr/Zim),2003-2015,124,123,4,2898,116,24.35,4555,63.62,2,20,14,ODI,Batting
WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8,ODI,Batting
IJL Trott (Eng),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5,ODI,Batting
