RB Richardson (WI),1983-1995,86,146,12,5949,194,44.39,16,27,8,Test,Batting
RR Sarwan (WI),2000-2011,87,154,8,5842,291,40.01,15,31,12,Test,Batting
ME Trescothick (Eng),2000-2006,76,143,10,5825,219,43.79,14,29,12,Test,Batting
DCS Compton (Eng),1937-1957,78,131,15,5807,278,50.06,17,28,10,Test,Batting
Saleem Malik (Pak),1982-1999,103,154,22,5768,237,43.69,15,29,12,Test,Batting
N Hussain (Eng),1990-2004,96,171,16,5764,207,37.18,14,33,14,Test,Batting
CL Hooper (WI),1987-2002,102,173,15,5762,233,36.46,13,27,13,Test,Batting
MP Vaughan (Eng),1999-2008,82,147,9,5719,197,41.44,18,18,9,Test,Batting
AC Gilchrist (Aus),1999-2008,96,137,20,5570,204*,47.6,17,26,14,Test,Batting
MV Boucher (ICC/SA),1997-2012,147,206,24,5515,125,30.3,5,35,17,Test,Batting
MS Atapattu (SL),1990-2007,90,156,15,5502,249,39.02,16,17,22,Test,Batting
TM Dilshan (SL),1999-2013,87,145,11,5492,193,40.98,16,23,14,Test,Batting
TT Samaraweera (SL),2001-2013,81,132,20,5462,231,48.76,14,30,11,Test,Batting
MD Crowe (NZ),1982-1995,77,131,11,5444,299,45.36,17,18,9,Test,Batting
JB Hobbs (Eng),1908-1930,61,102,7,5410,211,56.94,15,28,4,Test,Batting
KD Walters (Aus),1965-1981,74,125,14,5357,250,48.26,15,33,4,Test,Batting
IM Chappell (Aus),1964-1980,75,136,10,5345,196,42.42,14,26,11,Test,Batting
JG Wright (NZ),1978-1993,82,148,7,5334,185,37.82,12,23,7,Test,Batting
MJ Slater (Aus),1993-2001,74,131,7,5312,219,42.83,14,21,9,Test,Batting
N Kapil Dev (India),1978-1994,131,184,15,5248,163,31.05,8,27,16,Test,Batting
WM Lawry (Aus),1961-1971,67,123,12,5234,210,47.15,13,27,6,Test,Batting
IT Botham (Eng),1977-1992,102,161,6,5200,208,33.54,14,22,14,Test,Batting
JH Edrich (Eng),1963-1976,77,127,9,5138,310*,43.54,12,24,6,Test,Batting
A Ranatunga (SL),1982-2000,93,155,12,5105,135*,35.69,4,38,12,Test,Batting
Zaheer Abbas (Pak),1969-1985,78,124,11,5062,274,44.79,12,20,10,Test,Batting
TW Graveney (Eng),1951-1969,79,123,13,4882,258,44.38,11,20,8,Test,Batting
MS Dhoni (India),2005-2014,90,144,16,4876,224,38.09,6,33,10,Test,Batting
RB Simpson (Aus),1957-1978,62,111,7,4869,311,46.81,10,27,8,Test,Batting
A Flower (Zim),1992-2002,63,112,19,4794,232*,51.54,12,27,5,Test,Batting
LRPL Taylor (NZ),2007-2015,64,117,11,4769,217*,44.99,12,24,7,Test,Batting
IR Redpath (Aus),1964-1976,66,120,11,4737,171,43.45,8,31,9,Test,Batting
NJ Astle (NZ),1996-2006,81,137,10,4702,222,37.02,11,24,11,Test,Batting
AJ Lamb (Eng),1982-1992,79,139,10,4656,142,36.09,14,18,9,Test,Batting
H Sutcliffe (Eng),1924-1935,54,84,9,4555,194,60.73,16,23,2,Test,Batting
DJ Cullinan (SA),1993-2001,70,115,12,4554,275*,44.21,14,20,10,Test,Batting
HP Tillakaratne (SL),1989-2004,83,131,25,4545,204*,42.87,11,20,9,Test,Batting
PBH May (Eng),1951-1961,66,106,9,4537,285*,46.77,13,22,8,Test,Batting
DL Vettori (ICC/NZ),1997-2014,113,174,23,4531,140,30,6,23,20,Test,Batting
ER Dexter (Eng),1958-1968,62,102,8,4502,205,47.89,9,27,6,Test,Batting
ED Weekes (WI),1948-1958,48,81,5,4455,207,58.61,15,19,6,Test,Batting
KJ Hughes (Aus),1977-1984,70,124,6,4415,213,37.41,9,22,10,Test,Batting
MW Gatting (Eng),1978-1995,79,138,14,4409,207,35.55,10,21,16,Test,Batting
DR Martyn (Aus),1992-2006,67,109,14,4406,165,46.37,13,23,7,Test,Batting
